/home/shannonfaz/pythonvenv/lib/python3.12/site-packages/torch/cuda/__init__.py:188: UserWarning: CUDA initialization: The NVIDIA driver on your system is too old (found version 12090). Please update your GPU driver by downloading and installing a new version from the URL: http://www.nvidia.com/Download/index.aspx Alternatively, go to: https://pytorch.org to install a PyTorch version that has been compiled with your version of the CUDA driver. (Triggered internally at /__w/pytorch/pytorch/c10/cuda/CUDAFunctions.cpp:119.)
  return torch._C._cuda_getDeviceCount() > 0
LSTM 配置: {'seed': 666, 'hidden': 8, 'epochs': 100, 'step': 30, 'stages': [1.0, 0.9, 0.8, 0.7, 0.6, 0.5]}
加载数据：有效样本 695，跳过 0。
Epoch 055 | Loss 0.0155 | Val 0.9784 | Full 0.9942
Epoch 056 | Loss 0.0028 | Val 0.9712 | Full 0.9928
Epoch 057 | Loss 0.0056 | Val 0.9784 | Full 0.9957
Epoch 058 | Loss 0.0717 | Val 0.9712 | Full 0.9942
Epoch 059 | Loss 0.0255 | Val 0.9640 | Full 0.9928
Epoch 060 | Loss 0.0059 | Val 0.9784 | Full 0.9957
Epoch 061 | Loss 0.0229 | Val 0.9640 | Full 0.9928
Epoch 062 | Loss 0.0022 | Val 0.9568 | Full 0.9914
Epoch 063 | Loss 0.0016 | Val 0.9568 | Full 0.9914
Epoch 064 | Loss 0.0049 | Val 0.9784 | Full 0.9957
Epoch 065 | Loss 0.0020 | Val 0.9640 | Full 0.9928
Epoch 066 | Loss 0.0017 | Val 0.9640 | Full 0.9928
Epoch 067 | Loss 0.0021 | Val 0.9640 | Full 0.9928
Epoch 068 | Loss 0.0101 | Val 0.9640 | Full 0.9928
Epoch 069 | Loss 0.0027 | Val 0.9784 | Full 0.9957
Epoch 070 | Loss 0.0070 | Val 0.9784 | Full 0.9957
Epoch 071 | Loss 0.0033 | Val 0.9640 | Full 0.9928
Epoch 072 | Loss 0.0122 | Val 0.9568 | Full 0.9914
Epoch 073 | Loss 0.0162 | Val 0.9568 | Full 0.9914
Epoch 074 | Loss 0.0034 | Val 0.9568 | Full 0.9914
Epoch 075 | Loss 0.0027 | Val 0.9496 | Full 0.9899
Epoch 076 | Loss 0.0099 | Val 0.9640 | Full 0.9928
Epoch 077 | Loss 0.0077 | Val 0.9640 | Full 0.9928
Epoch 078 | Loss 0.0099 | Val 0.9640 | Full 0.9928
Epoch 079 | Loss 0.0100 | Val 0.9640 | Full 0.9928
Epoch 080 | Loss 0.0015 | Val 0.9640 | Full 0.9928
Epoch 081 | Loss 0.0160 | Val 0.9712 | Full 0.9942
Epoch 082 | Loss 0.0064 | Val 0.9568 | Full 0.9914
Epoch 083 | Loss 0.0036 | Val 0.9640 | Full 0.9928
Epoch 084 | Loss 0.0114 | Val 0.9712 | Full 0.9942
Epoch 085 | Loss 0.0112 | Val 0.9712 | Full 0.9942
Epoch 086 | Loss 0.0059 | Val 0.9784 | Full 0.9957
Epoch 087 | Loss 0.0035 | Val 0.9784 | Full 0.9957
Epoch 088 | Loss 0.0036 | Val 0.9712 | Full 0.9942
Epoch 089 | Loss 0.0068 | Val 0.9640 | Full 0.9928
Epoch 090 | Loss 0.0116 | Val 0.9784 | Full 0.9957
Epoch 091 | Loss 0.0011 | Val 0.9784 | Full 0.9957
Epoch 092 | Loss 0.0013 | Val 0.9712 | Full 0.9942
Epoch 093 | Loss 0.0140 | Val 0.9712 | Full 0.9942
Epoch 094 | Loss 0.0028 | Val 0.9712 | Full 0.9942
Epoch 095 | Loss 0.0010 | Val 0.9712 | Full 0.9942
Epoch 096 | Loss 0.0009 | Val 0.9712 | Full 0.9942
Epoch 097 | Loss 0.0052 | Val 0.9712 | Full 0.9942
Epoch 098 | Loss 0.0014 | Val 0.9640 | Full 0.9928
Epoch 099 | Loss 0.0032 | Val 0.9712 | Full 0.9942
Epoch 100 | Loss 0.0078 | Val 0.9784 | Full 0.9957
  -> 本阶段最佳准确率 0.9971 (最小margin 0.7293)
Epoch 001 | Loss 0.0375 | Val 0.9640 | Full 0.9914
Epoch 002 | Loss 0.0115 | Val 0.9712 | Full 0.9885
Epoch 003 | Loss 0.0689 | Val 0.9784 | Full 0.9957
Epoch 004 | Loss 0.0443 | Val 0.9712 | Full 0.9928
Epoch 005 | Loss 0.0365 | Val 0.9568 | Full 0.9899
Epoch 006 | Loss 0.0495 | Val 0.9568 | Full 0.9899
Epoch 007 | Loss 0.0435 | Val 0.9568 | Full 0.9885
Epoch 008 | Loss 0.0481 | Val 0.9640 | Full 0.9914
Epoch 009 | Loss 0.0415 | Val 0.9640 | Full 0.9885
Epoch 010 | Loss 0.0405 | Val 0.9712 | Full 0.9928
Epoch 011 | Loss 0.0198 | Val 0.9640 | Full 0.9914
Epoch 012 | Loss 0.0448 | Val 0.9568 | Full 0.9899
Epoch 013 | Loss 0.0297 | Val 0.9640 | Full 0.9914
Epoch 014 | Loss 0.0286 | Val 0.9784 | Full 0.9957
Epoch 015 | Loss 0.0215 | Val 0.9712 | Full 0.9942
Epoch 016 | Loss 0.0567 | Val 0.9568 | Full 0.9885
Epoch 017 | Loss 0.0512 | Val 0.9712 | Full 0.9885
Epoch 018 | Loss 0.0603 | Val 0.9712 | Full 0.9914
Epoch 019 | Loss 0.0457 | Val 0.9784 | Full 0.9957
Epoch 020 | Loss 0.0134 | Val 0.9784 | Full 0.9942
Epoch 021 | Loss 0.0459 | Val 0.9784 | Full 0.9957
Epoch 022 | Loss 0.0300 | Val 0.9640 | Full 0.9914
Epoch 023 | Loss 0.0265 | Val 0.9568 | Full 0.9899
Epoch 024 | Loss 0.0510 | Val 0.9856 | Full 0.9957
Epoch 025 | Loss 0.0377 | Val 0.9784 | Full 0.9957
Epoch 026 | Loss 0.0120 | Val 0.9712 | Full 0.9942
Epoch 027 | Loss 0.0120 | Val 0.9784 | Full 0.9957
Epoch 028 | Loss 0.0279 | Val 0.9784 | Full 0.9942
Epoch 029 | Loss 0.0495 | Val 0.9640 | Full 0.9928
Epoch 030 | Loss 0.0301 | Val 0.9712 | Full 0.9885
Epoch 031 | Loss 0.0568 | Val 0.9568 | Full 0.9899
Epoch 032 | Loss 0.0278 | Val 0.9568 | Full 0.9914
Epoch 033 | Loss 0.0094 | Val 0.9712 | Full 0.9942
Epoch 034 | Loss 0.0078 | Val 0.9640 | Full 0.9914
Epoch 035 | Loss 0.0075 | Val 0.9712 | Full 0.9942
Epoch 036 | Loss 0.0044 | Val 0.9712 | Full 0.9942
Epoch 037 | Loss 0.0068 | Val 0.9568 | Full 0.9914
Epoch 038 | Loss 0.0023 | Val 0.9640 | Full 0.9928
Epoch 039 | Loss 0.0037 | Val 0.9640 | Full 0.9928
Epoch 040 | Loss 0.0092 | Val 0.9640 | Full 0.9928
Epoch 041 | Loss 0.0034 | Val 0.9784 | Full 0.9957
Epoch 042 | Loss 0.0059 | Val 0.9784 | Full 0.9957
Epoch 043 | Loss 0.0072 | Val 0.9784 | Full 0.9957
Epoch 044 | Loss 0.0012 | Val 0.9712 | Full 0.9942
Epoch 045 | Loss 0.0037 | Val 0.9712 | Full 0.9942
Epoch 046 | Loss 0.0065 | Val 0.9784 | Full 0.9957
Epoch 047 | Loss 0.0152 | Val 0.9712 | Full 0.9942
Epoch 048 | Loss 0.0021 | Val 0.9640 | Full 0.9928
Epoch 049 | Loss 0.0038 | Val 0.9568 | Full 0.9914
